Id,Won,Score,Lost,Draw,Created At,Updated At
61,0,0,0,0,2012-10-13 08:10:53 UTC,2012-10-13 08:10:53 UTC
60,0,0,0,0,2012-10-13 08:10:10 UTC,2012-10-13 08:10:10 UTC
59,0,0,0,0,2012-10-13 08:09:39 UTC,2012-10-13 08:09:39 UTC
58,0,0,0,0,2012-10-13 08:08:43 UTC,2012-10-13 08:08:43 UTC
57,0,0,0,0,2012-10-13 08:08:08 UTC,2012-10-13 08:08:08 UTC
56,0,0,0,0,2012-10-13 08:07:39 UTC,2012-10-13 08:07:39 UTC
55,0,0,0,0,2012-10-13 08:06:57 UTC,2012-10-13 08:06:57 UTC
54,0,0,0,0,2012-10-13 08:06:26 UTC,2012-10-13 08:06:26 UTC
53,0,0,0,0,2012-10-13 08:06:03 UTC,2012-10-13 08:06:03 UTC
52,0,0,0,0,2012-10-13 08:05:39 UTC,2012-10-13 08:05:39 UTC
51,0,0,0,0,2012-10-13 08:05:03 UTC,2012-10-13 08:05:03 UTC
50,0,0,0,0,2012-10-13 08:03:18 UTC,2012-10-13 08:03:18 UTC
49,0,0,0,0,2012-10-13 08:02:54 UTC,2012-10-13 08:02:54 UTC
48,0,0,0,0,2012-10-13 08:02:07 UTC,2012-10-13 08:02:07 UTC
47,0,0,0,0,2012-10-13 08:01:47 UTC,2012-10-13 08:01:47 UTC
46,0,0,0,0,2012-10-13 08:01:18 UTC,2012-10-13 08:01:18 UTC
45,0,0,0,0,2012-10-13 08:00:52 UTC,2012-10-13 08:00:52 UTC
44,0,0,0,0,2012-10-13 08:00:25 UTC,2012-10-13 08:00:25 UTC
43,0,0,0,0,2012-10-13 08:00:02 UTC,2012-10-13 08:00:02 UTC
42,0,0,0,0,2012-10-13 07:59:24 UTC,2012-10-13 07:59:24 UTC
41,0,0,0,0,2012-10-13 07:58:54 UTC,2012-10-13 07:58:54 UTC
40,0,0,0,0,2012-10-13 07:58:24 UTC,2012-10-13 07:58:24 UTC
39,0,0,0,0,2012-10-13 07:56:01 UTC,2012-10-13 07:56:01 UTC
38,0,0,0,0,2012-10-13 07:55:36 UTC,2012-10-13 07:55:36 UTC
37,0,0,0,0,2012-10-13 07:54:58 UTC,2012-10-13 07:54:58 UTC
36,0,0,0,0,2012-10-13 07:54:28 UTC,2012-10-13 07:54:28 UTC
35,0,0,0,0,2012-10-13 07:53:59 UTC,2012-10-13 07:53:59 UTC
34,0,0,0,0,2012-10-13 07:53:21 UTC,2012-10-13 07:53:21 UTC
33,0,0,0,0,2012-10-13 07:52:41 UTC,2012-10-13 07:52:41 UTC
32,0,0,0,0,2012-10-13 07:52:00 UTC,2012-10-13 07:52:00 UTC
31,0,0,0,0,2012-10-13 07:51:33 UTC,2012-10-13 07:51:33 UTC
30,0,0,0,0,2012-10-13 07:50:46 UTC,2012-10-13 07:50:46 UTC
29,0,0,0,0,2012-10-13 07:50:12 UTC,2012-10-13 07:50:12 UTC
28,0,0,0,0,2012-10-13 07:49:51 UTC,2012-10-13 07:49:51 UTC
27,0,0,0,0,2012-10-13 07:49:12 UTC,2012-10-13 07:49:12 UTC
26,0,0,0,0,2012-10-13 07:48:36 UTC,2012-10-13 07:48:36 UTC
25,0,0,0,0,2012-10-13 07:48:09 UTC,2012-10-13 07:48:09 UTC
24,0,0,0,0,2012-10-13 07:47:34 UTC,2012-10-13 07:47:34 UTC
23,0,0,0,0,2012-10-13 07:47:13 UTC,2012-10-13 07:47:13 UTC
22,0,0,0,0,2012-10-13 07:46:50 UTC,2012-10-13 07:46:50 UTC
21,0,0,0,0,2012-10-13 07:46:28 UTC,2012-10-13 07:46:28 UTC
20,0,0,0,0,2012-10-13 07:46:03 UTC,2012-10-13 07:46:03 UTC
19,0,0,0,0,2012-10-13 07:45:37 UTC,2012-10-13 07:45:37 UTC
18,0,0,0,0,2012-10-13 07:45:06 UTC,2012-10-13 07:45:06 UTC
17,0,0,0,0,2012-10-13 07:44:34 UTC,2012-10-13 07:44:34 UTC
16,0,0,0,0,2012-10-13 07:44:11 UTC,2012-10-13 07:44:11 UTC
15,0,0,0,0,2012-10-13 07:43:47 UTC,2012-10-13 07:43:47 UTC
14,0,0,0,0,2012-10-13 07:43:19 UTC,2012-10-13 07:43:19 UTC
13,0,0,0,0,2012-10-13 07:42:55 UTC,2012-10-13 07:42:55 UTC
12,0,0,0,0,2012-10-13 07:42:28 UTC,2012-10-13 07:42:28 UTC
11,0,0,0,0,2012-10-13 07:42:08 UTC,2012-10-13 07:42:08 UTC
10,0,0,0,0,2012-10-13 07:41:44 UTC,2012-10-13 07:41:44 UTC
9,0,0,0,0,2012-10-13 07:41:22 UTC,2012-10-13 07:41:22 UTC
8,0,0,0,0,2012-10-13 07:41:02 UTC,2012-10-13 07:41:02 UTC
7,0,0,0,0,2012-10-13 07:40:45 UTC,2012-10-13 07:40:45 UTC
6,0,0,0,0,2012-10-13 07:40:22 UTC,2012-10-13 07:40:22 UTC
5,0,0,0,0,2012-10-13 07:40:03 UTC,2012-10-13 07:40:03 UTC
4,0,0,0,0,2012-10-13 07:39:40 UTC,2012-10-13 07:39:40 UTC
3,0,0,0,0,2012-10-12 20:55:51 UTC,2012-10-12 20:55:51 UTC
2,0,0,0,0,2012-10-12 20:55:26 UTC,2012-10-12 20:55:26 UTC
1,0,0,0,0,2012-10-12 20:55:08 UTC,2012-10-12 20:55:08 UTC

